image,sidewalk_width,free_lane_width,longitudinal_slope,transversal_slope,sidewalk_width_classification,free_lane_width_classification,longitudinal_slope_classification,transversal_slope_classification,pavement_quality,surface_material,fissures,cracks,holes,surface_irregularities,obstacles_in_the_free_lane,obstacles_in_the_sidewalk,is_there_a_pedestrian_crossing,is_there_a_curb_ramp,car_access_ramp_exists_and_interrupt_free_lane,would_it_be_possible_to_get_through_in_a_wheelchair,what_is_the_biggest_challenge_for_a_person_on_a_wheelchair
JF28b,"1,5","1,02","0,08","4,9","1,5","1,02","0,08","4,9",4,Concreto,Sim,Sim,Sim,sim,Árvore,Árvore,Não,Não,Não,Não,A árvore interrompe a faixa livre
JF29b,"1,55","1,53","1,92",25,"1,55","1,53","1,92",25,6,Concreto,Sim,Sim,Não,sim,Rampa de acesso de veículos (cunha),Rampa de acesso de veículos (cunha),Não,Não,sim,Não,Rampa de acesso de veículos
JF30b,"2,73","1,92","7,53","4,38","2,73","1,92","7,53","4,38",10,Concreto intertravado,Não,Não,Não,Não,Não identificado,"Poste, Poste ao fundo",Não,Não,Não,Sim,Não foi identificado desafio
JF31c,"2,72","1,92","7,53","4,38","2,72","1,92","7,53","4,38",8,Concreto liso,Sim,Não,Não,Não,Não identificado,Poste,Não,Não,Não,Sim,Inclinação longitudinal por um trecho longo
JF32b,"2,46","1,33","1,12","8,53","2,46","1,33","1,12","8,53",6,Concreto e Bloco intertravado,Não,Não,Não,sim,Rampa de acesso de veículos (cunha),"Poste, Rampa de acesso de veículos (cunha)",Não,Não,sim,Sim,"Não primeiro plaNão da imagem seria possível a passagem, Não segundo plaNão as rampas de acesso às edificações interrompem a faixa livre."
JF33b,"2,46","1,33","28,55","19,5","2,46","1,33","28,55","19,5",6,Concreto e bloco intertravado,Não,Não,Não,sim,Rampa de acesso de veículos (cunha),"Poste, Rampa de acesso de veículos (cunha)",Não,Não,sim,Não,Rampa de acesso de veículos com inclinação elevada interrompendo a continuidade do passeio.
JF34b,"2,57","1,44","0,63","1,44","2,57","1,44","0,63","1,44",10,Concreto e piso intertravado,Não,Não,Não,Não,Galhos da árvore,"Árvore, Lixeira, Galhos de árvore",Não,Não,Não,Sim,Não existe desafio para uma pessoa numa cadeira de rodas
JF35b,"2,48","1,35","1,4","7,74","2,48","1,35","1,4","7,74",10,Concreto e piso intertravado,Não,Não,Não,Não,Não identificado,,Não,Não,Não,Não,Inclinação transversal
JF36b,"2,48","2,18","3,1","7,79","2,48","2,18","3,1","7,79",4,concreto,Sim,Sim,Não,sim,Trincas e fissuras,Rampa de acesso de veículos (cunha),Não,Não,sim,Não,Inclinação transversal e trincas tornando o piso irregular
JF37b,"2,1","1,16","10,24","3,5","2,1","1,16","10,24","3,5",6,Concreto,Sim,Não,Não,sim,Desnível elevado,Desnível elevado,Sim,Sim,Não,Não,A inclinação da rampa de rebaixamento e falta de espaço na faixa livre para execução da manobra fazem com que esta calçada seja intransponível para uma pessoa numa cadeira de rodas
JF38b,"2,46","1,94","1,66","0,42","2,46","1,94","1,66","0,42",4,Concreto,Sim,Sim,Sim,sim,Buracos e trincas,"Balisadores, buracos e trincas",Não,Não,Não,Não,"Irregularidade da pavimentação, buracos e trincas na calçada"
JF39,"2,57","1,49","4,03","0,1","2,57","1,49","4,03","0,1",8,Pedra,Não,Não,Não,Não,Não identificado,Árvore,Não,Não,Não,Sim,Não existe desafio para uma pessoa numa cadeira de rodas
JF40b,"2,21","1,24","3,08","7,63","2,21","1,24","3,08","7,63",2,Pedra portuguesa,Não,Não,Sim,sim,Desnível e buraco,Desnível e buraco,Não,Não,Sim,Não,Buraco e desnível
JF41b,"3,76","2,34","0,61","1,6","3,76","2,34","0,61","1,6",10,Concreto,Não,Não,Não,Não,Não identificado,Poste e irregularidades na calçada,Sim,Sim,Não,Sim,Não existe desafio para uma pessoa numa cadeira de rodas
JF42b,"2,29","2,29","0,02","0,05","2,29","2,29","0,02","0,05",6,Pedra portuguesa,Sim,Não,Não,sim,Não identificado,Não identificado,Sim,Não,Não,Sim,Não existe desafio para uma pessoa numa cadeira de rodas
JF43b,"2,36","1,58","0,33","2,11","2,36","1,58","0,33","2,11",6,Pedra portuguesa e concreto,Sim,Sim,Não,sim,Não identificado,Poste,Sim,Sim,Não,Não,Inclinação da Rampa
JF44b,"3,19","1,8","0,58","4,15","3,19","1,8","0,58","4,15",6,Pedra portuguesa e concreto,Sim,Sim,Não,sim,Não identificado,Superfície irregular,Sim,Sim,Não,Não,Inclinação transversal na mudança de direção
JF45b,"2,57","1,49","4,03","0,1","2,57","1,49","4,03","0,1",6,Concreto,Sim,Sim,Sim,sim,Trincas,"Árvore, trincas",Não,Não,Não,Sim,Trincas e buracos
JF46b,"1,42",1,"7,18","0,85","1,42",1,"7,18","0,85",6,Pedra portuguesa,Sim,Não,Não,sim,Poste de sinalização,Poste de sinalização,Não,Não,Não,Não,Calçada estreita
